Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
132,3m96,refined,Protein-Ligand,1.4,Kd=60nM,7.22,2011,Carbonic anhydrase 2,E38,20926301,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 7357-7364,P00918
133,3mdz,refined,Protein-Ligand,2.32,Ki=0.8nM,9.1,2010,Human Carbonic Anhydrase VII,EZL,19119014,0,E.C.4.2.1.1,"(2009) Bioorg. Med. Chem., Vol.17, pp.1214-1221",P43166
134,3mhi,refined,Protein-Ligand,1.7,Kd=0.2uM,6.7,2010,human carbonic anhydrase II,J90,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
135,3mhl,refined,Protein-Ligand,1.9,Kd=0.056uM,7.25,2010,human carbonic anhydrase II,J71,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
136,3mhm,refined,Protein-Ligand,1.5,Kd=0.1uM,7,2010,human carbonic anhydrase II,J75,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
137,3mho,refined,Protein-Ligand,1.15,Kd=0.32uM,6.49,2010,human carbonic anhydrase II,J43,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
138,3ml2,refined,Protein-Ligand,1.8,Ki=9nM,8.05,2011,Carbonic anhydrase 2,SU0,20598552,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 4873-4878,P00918
139,3mmf,refined,Protein-Ligand,1.5,Ki=37nM,7.43,2011,human carbonic anhydrase II,D9H,22705188,0,E.C.4.2.1.1,"(2013) Bioorg. Med. Chem., Vol.21, pp.1555-1563",P00918
140,3mna,refined,Protein-Ligand,1.5,Ki=41nM,7.39,2011,human carbonic anhydrase II,DWH,21515057,0,E.C.4.2.1.1,"(2011) Bioorg. Med. Chem., Vol.19, pp.3105-3119",P00918
141,3mnu,general,Protein-Ligand,1.8,Ki=48nM,7.32,2010,human Carbonic anhydrase 2,BON,20472429,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem.Lett. Vol. 20: pp. 3601-3605,P00918
142,3myq,refined,Protein-Ligand,1.35,Kd=30nM,7.52,2011,Carbonic anhydrase 2,E27,20926301,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 7357-7364,P00918
143,3mzc,refined,Protein-Ligand,1.5,Ki=226nM,6.65,2011,Carbonic anhydrase 2,S6I,20922253,0,E.C.4.2.1.1,(2010) Chem.Commun.(Camb.) Vol. 46: pp. 8371-8373,P00918
144,3n0n,refined,Protein-Ligand,1.5,Ki=50nM,7.3,2011,Carbonic anhydrase 2,P9B,20922253,0,E.C.4.2.1.1,(2010) Chem.Commun.(Camb.) Vol. 46: pp. 8371-8373,P00918
145,3n2p,refined,Protein-Ligand,1.65,Ki=15nM,7.82,2011,Carbonic anhydrase 2,AYX,20922253,0,E.C.4.2.1.1,(2010) Chem.Commun.(Camb.) Vol. 46: pp. 8371-8373,P00918
146,3n3j,refined,Protein-Ligand,1.5,Ki=3.3nM,8.48,2011,Carbonic anhydrase 2,WWV,20922253,0,E.C.4.2.1.1,(2010) Chem.Commun.(Camb.) Vol. 46: pp. 8371-8373,P00918
147,3n4b,refined,Protein-Ligand,1.6,Ki=96nM,7.02,2011,Carbonic anhydrase 2,WWZ,20922253,0,E.C.4.2.1.1,(2010) Chem.Commun.(Camb.) Vol. 46: pp. 8371-8373,P00918
148,3nb5,refined,Protein-Ligand,1.8,Ki=18nM,7.74,2011,"Carbonic anhydrase 2, CA2",R21,21332115,0,E.C.4.2.1.1,(2011) J.Med.Chem. Vol. 54: pp. 1682-1692,P00918
149,3ni5,refined,Protein-Ligand,2.1,Ki=28nM,7.55,2011,"Carbonic anhydrase 2, CA2",C1H,21549597,0,E.C.4.2.1.1,(2011) Bioorg.Med.Chem.Lett. Vol. 21: pp. 3216-3221,P00918
150,3oik,general,Protein-Ligand,1.5,Ki=680nM,6.17,2011,"Carbonic anhydrase 2(A65S, N67Q mutant)",WZB,,0,E.C.4.2.1.1,(2011) LETT.DRUG DES.DISCOVERY Vol. 8: pp.678-684.,P00918
151,3oil,refined,Protein-Ligand,1.5,Ki=2100nM,5.68,2011,"Carbonic anhydrase 2(A65S, N67Q mutant)",VZ5,,0,E.C.4.2.1.1,(2011) LETT.DRUG DES.DISCOVERY Vol. 8: pp.678-684.,P00918
152,3oim,refined,Protein-Ligand,1.45,Ki=180nM,6.74,2011,Carbonic anhydrase 2,VZ5,,0,E.C.4.2.1.1,(2011) LETT.DRUG DES.DISCOVERY Vol. 8: pp.678-684.,P00918
153,3oku,refined,Protein-Ligand,1.45,Ki=440nM,6.36,2011,Carbonic anhydrase 2,VZ4,,0,E.C.4.2.1.1,(2011) LETT.DRUG DES.DISCOVERY Vol. 8: pp.678-684.,P00918
154,3okv,general,Protein-Ligand,1.45,Ki=590nM,6.23,2011,"Carbonic anhydrase 2(A65S, N67Q mutant)",VZ4,,0,E.C.4.2.1.1,(2011) LETT.DRUG DES.DISCOVERY Vol. 8: pp.678-684.,P00918
155,3oy0,refined,Protein-Ligand,1.6,Ki=10.1nM,8,2011,"Carbonic anhydrase 2, CA2",OY0,21506569,0,E.C.4.2.1.1,(2011) J.Med.Chem. Vol. 54: pp. 3977-3981,P00918
156,3oyq,refined,Protein-Ligand,1.47,Ki=10.3nM,7.99,2011,"Carbonic anhydrase 2, CA2",OYQ,21506569,0,E.C.4.2.1.1,(2011) J.Med.Chem. Vol. 54: pp. 3977-3981,P00918
157,3oys,general,Protein-Ligand,1.54,Ki=9nM,8.05,2011,"Carbonic anhydrase 2, CA2",OYS,21506569,0,E.C.4.2.1.1,(2011) J.Med.Chem. Vol. 54: pp. 3977-3981,P00918
158,3p3h,general,Protein-Ligand,1.5,Ki=36nM,7.44,2011,"Carbonic anhydrase 2, CA2",84A,22258283,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.),P00918
159,3p3j,general,Protein-Ligand,1.6,Ki=12nM,7.92,2011,"Carbonic anhydrase 2, CA2",498,22258283,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.),P00918
160,3p44,general,Protein-Ligand,2.2,Ki=9.7nM,8.01,2011,"Carbonic anhydrase 2, CA2",067,22258283,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.),P00918
161,3p4v,refined,Protein-Ligand,2,Ki=8uM,5.1,2011,"Carbonic anhydrase 2, CA2",PMX,21332115,0,E.C.4.2.1.1,(2011) J.Med.Chem. Vol. 54: pp. 1682-1692,P00918
162,3p55,general,Protein-Ligand,2,Ki=80nM,7.1,2011,"Carbonic anhydrase 2, CA2",670,22258283,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.),P00918
163,3p58,refined,Protein-Ligand,1.49,Ki=25.4nM,7.6,2011,"Carbonic anhydrase 2, CA2",P58,22218610,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 1868-1870,P00918
164,3p5l,refined,Protein-Ligand,1.5,Ki=40.8nM,7.39,2011,"Carbonic anhydrase 2, CA2",IT5,22218610,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 1868-1870,P00918
165,3po6,refined,Protein-Ligand,1.47,Ki=87.3nM,7.06,2011,"Carbonic anhydrase 2, CA2",DT9,21395315,0,E.C.4.2.1.1,(2011) J.Med.Chem. Vol. 54: pp. 2522-2526,P00918
166,3r16,refined,Protein-Ligand,1.6,Ki=50nM,7.3,2011,Carbonic anhydrase 2,5UN,21620713,0,E.C.4.2.1.1,(2011) Bioorg. Med. Chem. Vol. 19: pp. 3732-3738,P00918
167,3r17,refined,Protein-Ligand,1.7,Ki=390nM,6.41,2011,Carbonic anhydrase 2,5UM,21620713,0,E.C.4.2.1.1,(2011) Bioorg. Med. Chem. Vol. 19: pp. 3732-3738,P00918
168,3rj7,general,Protein-Ligand,1.2,Ki=25.3nM,7.6,2012,Carbonic anhydrase 2,RCS,22344779,0,E.C.4.2.1.1,(2012) Angew.Chem.Int.Ed.Engl. Vol. 51: pp. 3354-3357,P00918
169,3ryj,refined,Protein-Ligand,1.39,Kd=16nM,7.8,2011,Carbonic anhydrase 2,RYJ,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
170,3ryv,refined,Protein-Ligand,1.2,Kd=86nM,7.07,2011,Carbonic anhydrase 2,RYV,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
171,3ryx,refined,Protein-Ligand,1.6,Kd=7.3nM,8.14,2011,Carbonic anhydrase 2,RYX,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
172,3ryy,refined,Protein-Ligand,1.16,Kd=38nM,7.42,2011,Carbonic anhydrase 2,RYY,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
173,3ryz,refined,Protein-Ligand,1.37,Kd=2.4nM,8.62,2011,Carbonic anhydrase 2,RYZ,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
174,3rz0,refined,Protein-Ligand,1.8,Kd=28nM,7.55,2011,Carbonic anhydrase 2,RZ0,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
175,3rz1,refined,Protein-Ligand,1.51,Kd=1.8nM,8.74,2011,Carbonic anhydrase 2,RZ1,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
176,3rz5,refined,Protein-Ligand,1.65,Kd=13nM,7.89,2011,Carbonic anhydrase 2,RZ5,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
177,3rz7,refined,Protein-Ligand,1.8,Kd=1.1nM,8.96,2011,Carbonic anhydrase 2,RZ7,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
178,3rz8,refined,Protein-Ligand,1.7,Kd=6.7nM,8.17,2011,Carbonic anhydrase 2,RZ8,21790183,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 14017-14026,P00918
179,3s71,refined,Protein-Ligand,1.25,Kd=2.3nM,8.64,2011,Carbonic anhydrase 2,EVD,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
180,3s72,refined,Protein-Ligand,1.6,Kd=400nM,6.4,2011,Carbonic anhydrase 2,EVE,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
181,3s73,refined,Protein-Ligand,1.75,Kd=2nM,8.7,2011,Carbonic anhydrase 2,EVF,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
182,3s74,general,Protein-Ligand,1.4,Kd=4nM,8.4,2011,Carbonic anhydrase 2,03T,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
183,3s75,refined,Protein-Ligand,1.5,Kd=150nM,6.82,2011,Carbonic anhydrase 2,EVG,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
184,3s76,refined,Protein-Ligand,1.6,Kd=9000nM,5.05,2011,Carbonic anhydrase 2,EVH,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
185,3s77,refined,Protein-Ligand,1.86,Kd=61nM,7.21,2011,Carbonic anhydrase 2,EVI,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
186,3s78,refined,Protein-Ligand,1.98,Kd=340nM,6.47,2011,Carbonic anhydrase 2,EVJ,22011572,0,E.C.4.2.1.1,(2011) Proc.Natl.Acad.Sci.USA Vol. 108: pp. 17889-17894,P00918
187,3s8x,general,Protein-Ligand,1.3,Kd=0.05uM,7.3,2012,Carbonic anhydrase 2,E59,22440859,0,E.C.4.2.1.1,(2012) Eur.J.Med.Chem. Vol. 51: pp. 259-270,P00918
188,3s9t,general,Protein-Ligand,1.3,Kd=0.15uM,6.82,2012,Carbonic anhydrase 2,E49,22440859,0,E.C.4.2.1.1,(2012) Eur.J.Med.Chem. Vol. 51: pp. 259-270,P00918
189,3sap,general,Protein-Ligand,1.75,Kd=26nM,7.59,2012,Carbonic anhydrase 2,E2I,22440859,0,E.C.4.2.1.1,(2012) Eur.J.Med.Chem. Vol. 51: pp. 259-270,P00918
190,3sax,general,Protein-Ligand,1.1,Kd=0.27uM,6.57,2012,Carbonic anhydrase 2,E50,22440859,0,E.C.4.2.1.1,(2012) Eur.J.Med.Chem. Vol. 51: pp. 259-270,P00918
191,3sbh,general,Protein-Ligand,1.65,Kd=52nM,7.28,2012,Carbonic anhydrase 2,E65,22440859,0,E.C.4.2.1.1,(2012) Eur.J.Med.Chem. Vol. 51: pp. 259-270,P00918
192,3sbi,general,Protein-Ligand,1.4,Kd=12nM,7.92,2012,Carbonic anhydrase 2,E90,22440859,0,E.C.4.2.1.1,(2012) Eur.J.Med.Chem. Vol. 51: pp. 259-270,P00918
193,3t5u,refined,Protein-Ligand,1.75,Ki=0.026uM,7.59,2012,human carbonic anhydrase II,A09,11020282,0,E.C.4.2.1.1,"(2000) J. Med. Chem., Vol.43, pp.3677-3687",P00918
194,3t82,refined,Protein-Ligand,2,Ki=101nM,7,2011,Carbonic anhydrase 2,SG4,21958118,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 18452-18462,P00918
195,3t83,refined,Protein-Ligand,1.8,Ki=105nM,6.98,2011,Carbonic anhydrase 2,MG5&SG5,21958118,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 18452-18462,P00918
196,3t84,refined,Protein-Ligand,2,Ki=106nM,6.97,2011,Carbonic anhydrase 2,SG6,21958118,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 18452-18462,P00918
197,3t85,refined,Protein-Ligand,2.4,Ki=11.3nM,7.95,2011,Carbonic anhydrase 2,SG7,21958118,0,E.C.4.2.1.1,(2011) J.Am.Chem.Soc. Vol. 133: pp. 18452-18462,P00918
198,3ucj,refined,Protein-Ligand,1.85,Ki=1uM,6,2011,Coccomyxa beta-carbonic anhydrase,AZM,22162771,0,E.C.4.2.1.1,(2011) Plos One Vol. 6: pp. e28458-e28458,Q96554
199,3v5g,general,Protein-Ligand,1.5,Ki=74nM,7.13,2012,human carbonic anhydrase II,0F3,22775345,0,E.C.4.2.1.1,(2012) J.Med.Chem. Vol. 55: pp. 6776-6783,P00918
200,3v7x,refined,Protein-Ligand,1.03,Ki=2.7nM,8.57,2012,human carbonic anhydrase II,D7A,22443141,0,E.C.4.2.1.1,(2012) J.Med.Chem. Vol. 55: pp. 3891-3899,P00918
201,3vbd,refined,Protein-Ligand,1.05,Ki=8.6nM,8.07,2012,human carbonic anhydrase II,0FZ,22443141,0,E.C.4.2.1.1,(2012) J.Med.Chem. Vol. 55: pp. 3891-3899,P00918
202,3znc,general,Protein-Ligand,2.8,IC50=45.3nM,7.34,1999,carbonic anhydrase iv,BZ1,9541386,46394376,E.C.4.2.1.1,"Protein Sci. v7 pp. 556-63, 1998",Q64444
203,3zp9,general,Protein-Ligand,1.31,Kd=15nM,7.82,2013,CARBONIC ANHYDRASE 2,9TH,,0,E.C.4.2.1.1,(2013) Chem.Sci. Vol. 4: pp. 3269,P00918
204,4bcw,general,Protein-Ligand,1.5,Ki>100uM,4,2013,CARBONIC ANHYDRASE 2,TU0,23241068,0,E.C.4.2.1.1,(2013) J.Med.Chem. Vol. 56: pp. 293,P00918
205,4bf1,refined,Protein-Ligand,1.35,Ki=2.4nM,8.62,2014,human carbonic anhydrase II,9FK,23859774,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 5130-5138,P00918
206,4bf6,refined,Protein-Ligand,1.82,Ki=4.5nM,8.35,2014,human carbonic anhydrase II,X0Q,23859774,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 5130-5138,P00918
207,4cq0,general,Protein-Ligand,1.45,Ki=8106nM,5.09,2014,CARBONIC ANHYDRASE 2,SXS,24689792,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 3522-3531,P00918
208,4e3d,general,Protein-Ligand,1.6,IC50=5mM,2.3,2012,Carbonic anhydrase 2,GTQ,22531842,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 5259-5261,P00918
209,4e3f,general,Protein-Ligand,1.5,IC50=3mM,2.52,2012,Carbonic anhydrase 2,GRE,22531842,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 5259-5261,P00918
210,4e3g,refined,Protein-Ligand,1.55,Ki=10.6uM,4.97,2012,Carbonic anhydrase 2,PHB,22531842,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 5259-5261,P00918
211,4e3h,general,Protein-Ligand,1.5,Ki=90nM,7.05,2012,Carbonic anhydrase 2,HQE,22531842,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 5259-5261,P00918
212,4e49,general,Protein-Ligand,1.45,Ki=7.7uM,5.11,2012,Carbonic anhydrase 2,RCO,22531842,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 5259-5261,P00918
213,4e4a,general,Protein-Ligand,1.45,IC50=9mM,2.05,2012,Carbonic anhydrase 2,JKE,22531842,0,E.C.4.2.1.1,(2012) Chem.Commun.(Camb.) Vol. 48: pp. 5259-5261,P00918
214,4g0c,general,Protein-Ligand,2,Ki=12nM,7.92,2012,Carbonic anhydrase 2,AZM,22928733,0,E.C.4.2.1.1,(2012) J.Am.Chem.Soc. Vol. 134: pp. 14726-14729,P00918
215,4ht0,refined,Protein-Ligand,1.6,Kd=10nM,8,2013,Carbonic anhydrase 2,V50,23394791,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 2093-2106,P00918
216,4ht2,refined,Protein-Ligand,1.45,Kd=290nM,6.54,2013,Carbonic anhydrase 12,V50,23394791,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 2093-2106,O43570
217,4hu1,refined,Protein-Ligand,1.95,Kd=29nM,7.54,2013,Carbonic anhydrase 13,V13,23394791,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 2093-2106,Q8N1Q1
218,4itp,refined,Protein-Ligand,1.7,Ki=54nM,7.27,2014,human carbonic anhydrase II,1GD,24012377,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6674-6680,P00918
219,4iwz,refined,Protein-Ligand,1.6,Ki=51nM,7.29,2013,Carbonic anhydrase 2,1GO,23993330,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem.Lett. Vol. 23: pp. 5646-5649,P00918
220,4jsa,refined,Protein-Ligand,1.5,Ki=11uM,4.96,2013,Carbonic anhydrase 2 (H94D mutation),FB2,23706138,0,E.C.4.2.1.1,(2013) Inorg.Chem. Vol. 52: pp. 12207-12215,P00918
221,4jss,refined,Protein-Ligand,1.5,Ki=500uM,3.3,2013,Carbonic anhydrase 2 (H94D mutation),BEW,23706138,0,E.C.4.2.1.1,(2013) Inorg.Chem. Vol. 52: pp. 12207-12215,P00918
222,4jsz,refined,Protein-Ligand,1.9,Ki=5000uM,2.3,2013,Carbonic anhydrase 2 (H94C mutation),FB2,23706138,0,E.C.4.2.1.1,(2013) Inorg.Chem. Vol. 52: pp. 12207-12215,P00918
223,4kni,refined,Protein-Ligand,1.8,Kd=16.7nM,7.78,2013,Carbonic anhydrase 2,E1E,24103428,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6937-6947,P00918
224,4knj,refined,Protein-Ligand,2,Kd=11.1nM,7.95,2013,Carbonic anhydrase 2,E1F,24103428,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6937-6947,P00918
225,4knm,refined,Protein-Ligand,1.9,Kd=10.0nM,8,2013,Carbonic anhydrase 13,E1E,24103428,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6937-6947,Q8N1Q1
226,4knn,refined,Protein-Ligand,1.4,Kd=16.7nM,7.78,2013,Carbonic anhydrase 13,E1F,24103428,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6937-6947,Q8N1Q1
227,4kp5,refined,Protein-Ligand,1.45,Kd=833nM,6.08,2013,Carbonic anhydrase 12,E1F,24103428,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6937-6947,O43570
228,4kp8,refined,Protein-Ligand,1.8,Kd=3330nM,5.48,2013,Carbonic anhydrase 12,E1G,24103428,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 6937-6947,O43570
229,4lp6,general,Protein-Ligand,2.15,Kd=5.36nM,8.27,2013,Human Carbonic Anhydrase II,Q4I,24288253,0,E.C.4.2.1.1,(2014) Angew.Chem.Int.Ed.Engl. Vol. 53: pp. 883-887,P00918
230,4m2r,refined,Protein-Ligand,1.99,Ki=3.2nM,8.49,2013,Carbonic anhydrase 2,BZ1,24090602,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 7210-7215,P00918
231,4m2u,refined,Protein-Ligand,2,Ki=9.1nM,8.04,2013,Carbonic anhydrase 2,ETS,24090602,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 7210-7215,P00918
232,4m2v,refined,Protein-Ligand,1.72,Ki=36nM,7.44,2013,Carbonic anhydrase 2,BZ1,24090602,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 7210-7215,P00918
233,4m2w,refined,Protein-Ligand,1.66,Ki=52nM,7.28,2013,Carbonic anhydrase 2,ETS,24090602,0,E.C.4.2.1.1,(2013) Bioorg.Med.Chem. Vol. 21: pp. 7210-7215,P00918
234,4mdg,general,Protein-Ligand,1.35,Ki=0.7uM,6.15,2014,human Carbonic anhydrase 2,25X,24307504,0,E.C.4.2.1.1,(2013) Angew.Chem.Int.Ed.Engl. Vol. 52: pp. 13760-13763,P00918
235,4mdl,general,Protein-Ligand,1.52,Ki=1.16uM,5.94,2014,human Carbonic anhydrase 2,25Y,24307504,0,E.C.4.2.1.1,(2013) Angew.Chem.Int.Ed.Engl. Vol. 52: pp. 13760-13763,P00918
236,4mdm,general,Protein-Ligand,1.55,Ki=6.79uM,5.17,2014,human Carbonic anhydrase 2,26E,24307504,0,E.C.4.2.1.1,(2013) Angew.Chem.Int.Ed.Engl. Vol. 52: pp. 13760-13763,P00918
237,4mlt,general,Protein-Ligand,2,Ki=1.4mM,2.85,2014,human Carbonic anhydrase 2,TM4,24635441,0,E.C.4.2.1.1,(2014) J.Am.Chem.Soc. Vol. 136: pp. 5400-5406,P00918
238,4mlx,general,Protein-Ligand,1.65,Ki=0.65mM,3.19,2014,human Carbonic anhydrase 2,TM7,24635441,0,E.C.4.2.1.1,(2014) J.Am.Chem.Soc. Vol. 136: pp. 5400-5406,P00918
239,4mo8,refined,Protein-Ligand,1.85,Ki=10.1nM,8,2013,Carbonic anhydrase 2,2VQ,24128000,0,E.C.4.2.1.1,(2013) J.Med.Chem. Vol. 56: pp. 8512-8520,P00918
240,4pyx,general,Protein-Ligand,1.8,Kd=730nM,6.14,2015,human Carbonic anhydrase 2,V90,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
241,4pyy,general,Protein-Ligand,1.75,Kd=59nM,7.23,2015,human Carbonic anhydrase 2,V14,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
242,4pzh,general,Protein-Ligand,1.06,Kd<10nM,8,2015,human Carbonic anhydrase 2,V13,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
243,4q06,general,Protein-Ligand,1.15,Kd=22nM,7.66,2015,human chimeric carbonic anhydrase IX,V90,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
244,4q07,general,Protein-Ligand,1.15,Kd=7.3nM,8.14,2015,human chimeric carbonic anhydrase IX,V14,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
245,4q08,refined,Protein-Ligand,1.07,Kd=500nM,6.3,2015,human chimeric carbonic anhydrase XII,V90,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
246,4q09,refined,Protein-Ligand,1.2,Kd=6.7nM,8.17,2015,human chimeric carbonic anhydrase XII,V14,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,P00918
247,4q0l,general,Protein-Ligand,2,Kd=20nM,7.7,2015,human carbonic anhydrase isozyme XII,V14,25358084,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9435-9446,O43570
248,4q6d,refined,Protein-Ligand,1.12,Kd=43.5nM,7.36,2014,Carbonic anhydrase 2 CAII,WW3,25353386,0,E.C.4.2.1.1,(2014) Molecules Vol. 19: pp. 17356-17380,P00918
249,4q6e,refined,Protein-Ligand,1.12,Kd=0.667uM,6.18,2014,Carbonic anhydrase 2 CAII,KR5,25353386,0,E.C.4.2.1.1,(2014) Molecules Vol. 19: pp. 17356-17380,P00918
250,4q78,general,Protein-Ligand,1,Ki=700nM,6.15,2015,human Carbonic anhydrase 2,25X,25309911,0,E.C.4.2.1.1,(2014) Biomed Res Int Vol. 2014: pp. 389869-389869,P00918
251,4q7p,refined,Protein-Ligand,1.65,Ki=48uM,4.32,2015,human Carbonic anhydrase 2,3MH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
252,4q7s,refined,Protein-Ligand,1.8,Ki=38uM,4.42,2015,human Carbonic anhydrase 2,2YU,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
253,4q7v,refined,Protein-Ligand,1.6,Ki=260uM,3.59,2015,human Carbonic anhydrase 2,5MH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
254,4q7w,refined,Protein-Ligand,1.45,Ki=2300uM,2.64,2015,human Carbonic anhydrase 2,6MH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
255,4q81,refined,Protein-Ligand,1.55,Ki=950uM,3.02,2015,human Carbonic anhydrase 2,7MH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
256,4q83,refined,Protein-Ligand,1.55,Ki=64uM,4.19,2015,human Carbonic anhydrase 2,3FH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
