Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
140,2zdl,refined,Protein-Ligand,1.8,Kd=402nM,6.4,2008,Cationic trypsin,45U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
141,2zdm,refined,Protein-Ligand,1.93,Kd=386nM,6.41,2008,Cationic trypsin,46U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
142,2zdn,refined,Protein-Ligand,1.98,Kd=562nM,6.25,2008,Cationic trypsin,49U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
143,2zfs,refined,Protein-Ligand,1.51,Kd=287nM,6.54,2009,Cationic trypsin,12U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
144,2zft,refined,Protein-Ligand,1.76,Kd=300nM,6.52,2009,Cationic trypsin,10U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
145,2zhd,general,Protein-Ligand,1.94,Kd=287nM,6.54,2009,Cationic trypsin,12U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
146,2zq1,general,Protein-Ligand,1.68,Kd=239nM,6.62,2009,Cationic trypsin,11U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
147,2zq2,refined,Protein-Ligand,1.4,Kd=276nM,6.56,2009,Cationic trypsin,13U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
148,3aas,refined,Protein-Ligand,1.75,Ki=31uM,4.51,2010,Bovine beta-trypsin,GUS,20202854,0,E.C.3.4.21.4,(2010) Bioorg.Med.Chem. Vol. 18: pp. 2076-2080,P00760
149,3aau,refined,Protein-Ligand,1.8,Ki=9.0uM,5.05,2010,Bovine beta-trypsin,GZC,20202854,0,E.C.3.4.21.4,(2010) Bioorg.Med.Chem. Vol. 18: pp. 2076-2080,P00760
150,3aav,general,Protein-Ligand,1.7,Ki=0.24uM,6.62,2010,Bovine beta-trypsin,A2C,20202854,0,E.C.3.4.21.4,(2010) Bioorg.Med.Chem. Vol. 18: pp. 2076-2080,P00760
151,3ati,general,Protein-Ligand,1.71,IC50=188uM,3.73,2011,Cationic trypsin,SZ4,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
152,3atk,general,Protein-Ligand,1.74,IC50=1400uM,2.85,2011,Cationic trypsin,SZ1,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
153,3atl,general,Protein-Ligand,1.74,IC50=17.2uM,4.76,2011,Cationic trypsin,BEN,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
154,3atm,general,Protein-Ligand,1.72,IC50=873uM,3.06,2011,Cationic trypsin,TSS,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
155,3gy2,refined,Protein-Ligand,1.57,Kd=1.80uM,5.74,2010,bovine beta-trypsin,BRN,20356563,0,E.C.3.4.21.4,(2010) Int.J.Biol.Macromol. Vol. 46: pp. 502-511,P00760
156,3gy3,refined,Protein-Ligand,1.7,Kd=2.36uM,5.63,2010,Cationic trypsin,PNT,20356563,0,E.C.3.4.21.4,(2010) Int.J.Biol.Macromol. Vol. 46: pp. 502-511,P00760
157,3gy4,refined,Protein-Ligand,1.55,Kd=8uM,5.1,2010,Cationic trypsin,PBZ,20356563,0,E.C.3.4.21.4,(2010) Int.J.Biol.Macromol. Vol. 46: pp. 502-511,P00760
158,3gy7,refined,Protein-Ligand,1.55,Kd=30uM,4.52,2010,Cationic trypsin,BEN,20356563,0,E.C.3.4.21.4,(2010) Int.J.Biol.Macromol. Vol. 46: pp. 502-511,P00760
159,3ljj,general,Protein-Ligand,1.55,Kd=300nM,6.52,2010,Cationic trypsin,10U,21111747,0,E.C.3.4.21.4,(2011) J.Mol.Biol. Vol. 405: pp. 1170-1187,P00760
160,3ljo,refined,Protein-Ligand,1.5,Kd=239nM,6.62,2010,Cationic trypsin,11U,21111747,0,E.C.3.4.21.4,(2011) J.Mol.Biol. Vol. 405: pp. 1170-1187,P00760
161,3m35,refined,Protein-Ligand,2.2,Ki=60nM,7.22,2010,Cationic trypsin,M35,14640539,0,E.C.3.4.21.4,(2003) J.Med.Chem. Vol. 46: pp. 5298-5315,P00760
162,3nk8,general,Protein-Ligand,1.15,Kd>1mM,3,2010,bovine cationic trypsin,JKZ,20886466,0,E.C.3.4.21.4,(2010) Proteins Vol. 78: pp. 3281-3291,P00760
163,3nkk,refined,Protein-Ligand,1.12,Kd=20uM,4.7,2010,bovine cationic trypsin,JLZ,20886466,0,E.C.3.4.21.4,(2010) Proteins Vol. 78: pp. 3281-3291,P00760
164,3rxa,general,Protein-Ligand,1.7,IC50=1.4mM,2.85,2011,Cationic trypsin,SZ1,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
165,3rxb,general,Protein-Ligand,1.7,IC50=2.2mM,2.66,2011,Cationic trypsin,ALG,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
166,3rxd,general,Protein-Ligand,1.7,IC50=188uM,3.73,2011,Cationic trypsin,SZ4,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
167,3rxe,general,Protein-Ligand,1.7,IC50=17.2uM,4.76,2011,Cationic trypsin,BEN,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
168,3rxf,general,Protein-Ligand,1.7,IC50=2.5mM,2.6,2011,Cationic trypsin,4AP,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
169,3rxg,general,Protein-Ligand,1.7,IC50=7.1mM,2.15,2011,Cationic trypsin,SZ3,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
170,3rxh,general,Protein-Ligand,1.7,IC50=15.7mM,1.8,2011,Cationic trypsin,HSM,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
171,3rxi,general,Protein-Ligand,1.6,IC50=873uM,3.06,2011,Cationic trypsin,TSS,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
172,3rxj,general,Protein-Ligand,1.7,IC50=873uM,3.06,2011,Cationic trypsin,GBS,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
173,3rxk,general,Protein-Ligand,1.6,IC50=2.1mM,2.68,2011,Cationic trypsin,SZ8,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
174,3rxl,general,Protein-Ligand,1.7,IC50=2.4mM,2.62,2011,Cationic trypsin,SZ9,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
175,3rxm,general,Protein-Ligand,1.7,IC50=232uM,3.63,2011,Cationic trypsin,SW1,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
176,3rxo,general,Protein-Ligand,1.6,IC50=83.3uM,4.08,2011,Cationic trypsin,SW2,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
177,3rxp,general,Protein-Ligand,1.6,IC50=8.3mM,2.08,2011,Cationic trypsin,SW3,,0,E.C.3.4.21.4,(2011) J.Appl.Crystallogr. Vol. 44: pp. 798-804,P00760
178,3vgc,general,Protein-Ligand,1.67,Ki=3.11uM,5.51,1997,chymotrypsin gamma,SRB,9425066,46394375,E.C.3.4.21.1,"Biochemistry v37 pp. 451-62, 1998",P00766
179,4ab8,general,Protein-Ligand,1.6,Kd=136uM,3.87,2012,CATIONIC TRYPSIN,VXU,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
180,4ab9,refined,Protein-Ligand,1.2,Kd=466uM,3.33,2012,CATIONIC TRYPSIN,VXQ,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
181,4aba,refined,Protein-Ligand,1.25,Kd=153uM,3.82,2012,CATIONIC TRYPSIN,SW1,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
182,4abb,refined,Protein-Ligand,1.25,Kd=31uM,4.51,2012,CATIONIC TRYPSIN,K9S,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
183,4abd,refined,Protein-Ligand,1.25,Kd=40uM,4.4,2012,CATIONIC TRYPSIN,SW2,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
184,4abe,refined,Protein-Ligand,1.3,Kd=400uM,3.4,2012,CATIONIC TRYPSIN,913,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
185,4abf,refined,Protein-Ligand,1.3,Kd=24uM,4.62,2012,CATIONIC TRYPSIN,513,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
186,4abg,refined,Protein-Ligand,1.52,Kd=271uM,3.57,2012,CATIONIC TRYPSIN,91B,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
187,4abh,refined,Protein-Ligand,1.25,Kd=71uM,4.15,2012,CATIONIC TRYPSIN,7Z3,22187139,0,E.C.3.4.21.4,(2012) J.Comput.Aided Mol.Des. Vol. 26: pp. 497,P00760
188,4abi,general,Protein-Ligand,1.55,Ki=6.3nM,8.2,2012,bovine CATIONIC TRYPSIN,13-mer,22374650,0,E.C.3.4.21.4,(2012) Angew.Chem.Int.Ed.Engl. Vol. 51: pp. 3708-3712,Q4GWU5 P00760
189,4abj,general,Protein-Ligand,1.45,Ki=34nM,7.47,2012,bovine CATIONIC TRYPSIN,13-mer,22374650,0,E.C.3.4.21.4,(2012) Angew.Chem.Int.Ed.Engl. Vol. 51: pp. 3708-3712,Q4GWU5 P00760
190,4gvu,general,Protein-Ligand,1.55,IC50=30nM,7.52,2013,Chymotrypsin-like elastase family member 1,8-mer,23350733,0,E.C.3.4.21.36,(2013) J.Med.Chem. Vol. 56: pp. 1276-1290,P00772
191,4hgc,general,Protein-Ligand,1.29,Ki=0.1nM,10,2013,Cationic trypsin,14-mer,24598736,0,E.C.3.4.21.4,"(2014) Acta Crystallogr.,Sect.D Vol. 70: pp. 668-675",Q4GWU5 P00760
192,4ktu,general,Protein-Ligand,1.35,Kd=0.685uM,6.16,2014,Bovine Cationic trypsin,14-mer,24591244,0,E.C.3.4.21.4,(2014) Angew.Chem.Int.Ed.Engl. Vol. 53: pp. 3735-3738,B2G3C8 P00760
193,4q2k,general,Protein-Ligand,2.2,Ki=33nM,7.48,2014,Alpha-Chymotrypsin,5BF,24903745,0,E.C.3.4.21.1,(2014) Angew.Chem.Int.Ed.Engl.,P00766
194,4u2w,general,Protein-Ligand,1,Ki=1000nM,6,2015,Cationic trypsin,16-mer,25546528,0,E.C.3.4.21.4,(2015) Proteins Vol. 83: pp. 582-589,B1VC43 P00760
195,4vgc,general,Protein-Ligand,2.1,Ki=0.127uM,6.9,1997,chymotrypsin gamma,SRD,9425066,46394401,E.C.3.4.21.1,"Biochemistry v37 pp. 451-62, 1998",P00766
196,5eg4,general,Protein-Ligand,1.32,Ki=21nM,7.68,2016,bovine trypsin,5N7,27280436,0,E.C.3.4.21.4 ,(2016) J.Med.Chem. Vol. 59: pp. 6370-6386,P00760
197,5lgo,general,Protein-Ligand,1.12,IC50=0.006uM,8.22,2016,Bos taurus Cationic trypsin,6VZ,27476144,0,E.C.3.4.21.4 ,(2016) Bioorg.Med.Chem.Lett. Vol. 26: pp. 4340-4344,P00760
198,5lh4,general,Protein-Ligand,1.37,IC50=0.11uM,6.96,2018,Cationic trypsin,6W4,27476144,0,E.C.3.4.21.4,(2016) Bioorg. Med. Chem. Lett. Vol. 26: pp. 4340-4344,P00760
199,5lh8,general,Protein-Ligand,1.54,IC50=0.019uM,7.72,2016,Bos taurus Cationic trypsin,6WH,27476144,0,E.C.3.4.21.4 ,(2016) Bioorg.Med.Chem.Lett. Vol. 26: pp. 4340-4344,P00760
200,5mn1,refined,Protein-Ligand,0.79,Kd=3.3mM,2.48,2017,Cationic trypsin,2AP,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
201,5mnb,general,Protein-Ligand,0.94,Kd=3.3mM,2.48,2017,Cationic trypsin,2AP,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
202,5mnc,general,Protein-Ligand,0.92,Kd=48.5mM,1.31,2017,Cationic trypsin,ANL,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
203,5mng,general,Protein-Ligand,0.86,Kd=20.7uM,4.68,2018,Cationic trypsin	,BAM,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
204,5mnh,general,Protein-Ligand,0.93,Kd=20.7uM,4.68,2018,Cationic trypsin	,BAM,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
205,5mnn,refined,Protein-Ligand,0.86,Kd=143uM,3.84,2018,Cationic trypsin	,MRZ,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
206,5mno,general,Protein-Ligand,0.96,Kd=143uM,3.84,2018,Cationic trypsin	,MRZ,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
207,5mnx,general,Protein-Ligand,1.42,Kd=3.3mM,2.48,2017,Cationic trypsin,2AP,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
208,5mny,general,Protein-Ligand,1.43,Kd=48.5mM,1.31,2017,Cationic trypsin,WOT,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
209,5mo0,general,Protein-Ligand,1.5,Kd=20.7uM,4.68,2018,Cationic trypsin	,BAM,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
210,5mo2,general,Protein-Ligand,1.5,Kd=143uM,3.84,2018,Cationic trypsin	,MRZ,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
211,5mon,general,Protein-Ligand,0.94,Kd=3.3mM,2.48,2017,Cationic trypsin,2AP,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
212,5moo,general,Protein-Ligand,1.44,Kd=48.5mM,1.31,2017,Cationic trypsin,WOT,28371253,0,E.C.3.4.21.4,(2017) Angew. Chem. Int. Ed. Engl. Vol. 56: pp. 4887-4890,P00760
213,5moq,general,Protein-Ligand,0.93,Kd=20.7uM,4.68,2018,Cationic trypsin	,BAM,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
214,5mos,general,Protein-Ligand,0.96,Kd=163uM,3.79,2018,Cationic trypsin	,MRZ,30177695,0,E.C.3.4.21.4,(2018) Nat Commun Vol. 9: pp. 3559-3559,P00760
215,5om2,refined,Protein-Ligand,1.47,Kd=86.7uM,4.06,2018,Alpha1-antichymotrypsin variant DBS-I1,DXT,29760101,0,E.C.-.-.-.-,(2018) Proc. Natl. Acad. Sci. U.S.A. Vol. 115: pp. 5744-5749,
216,5om3,refined,Protein-Ligand,2,Kd=79.2uM,4.1,2018,Alpha1-antichymotrypsin variant DBS-I5,DXT,29760101,0,E.C.-.-.-.-,(2018) Proc. Natl. Acad. Sci. U.S.A. Vol. 115: pp. 5744-5749,
217,5om7,refined,Protein-Ligand,1.73,Kd=1.8uM,5.74,2018,Alpha1-antichymotrypsin variant DBS-II,DM2,29760101,0,E.C.-.-.-.-,(2018) Proc. Natl. Acad. Sci. U.S.A. Vol. 115: pp. 5744-5749,
218,5tp0,refined,Protein-Ligand,1.25,Ki=3.66uM,5.44,2017,mesotrypsin,BRN,28463992,0,E.C.-.-.-.-,(2017) PLoS ONE Vol. 12: pp. e0176694-e0176694,P35030
219,6cha,general,Protein-Ligand,1.8,Ki=40uM,4.4,1987,chymotrypsin alpha,PBA,3584139,46394422,E.C.3.4.21.1,"J.Biol.Chem. v262 pp. 7737-43, 1987",P00766
220,6ftp,refined,Protein-Ligand,1.8,Kd=1.5uM,5.82,2018,Alpha1-antichymotrypsin variant DBS-II-allo,DM2,29760101,0,E.C.-.-.-.-,(2018) Proc. Natl. Acad. Sci. U.S.A. Vol. 115: pp. 5744-5749,
221,6gch,general,Protein-Ligand,2.1,Ki=20uM,4.7,1990,chymotrypsin gamma,APF,2271520,46394425,E.C.3.4.21.1,"Biochemistry v29 pp. 7600-7, 1990",P00766
222,7gch,general,Protein-Ligand,1.8,Ki=2uM,5.7,1990,chymotrypsin gamma,LPF,2271520,46394435,E.C.3.4.21.1,"Biochemistry v29 pp. 7600-7, 1990",P00766
